County,AD,ED,Name,Votes
New York,AD65,ED14,DAVID EISENBACH,6
New York,AD65,ED14,JARED RICH,0
New York,AD65,ED14,ANTHONY TONY HERBERT,2
New York,AD65,ED14,HELAL A. SHEIKH,0
New York,AD65,ED14,WRITE-IN,1
New York,AD65,ED15,MELISSA MARK-VIVERITO,7
New York,AD65,ED15,MICHAEL A. BLAKE,3
New York,AD65,ED15,DAWN L. SMALLS,7
New York,AD65,ED15,ERIC A. ULRICH,7
New York,AD65,ED15,YDANIS RODRIGUEZ,0
New York,AD65,ED15,DANIEL J. O'DONNELL,0
New York,AD65,ED15,RAFAEL L. ESPINAL JR.,2
New York,AD65,ED15,LATRICE M. WALKER,0
New York,AD65,ED15,JUMAANE D. WILLIAMS,25
New York,AD65,ED15,RON KIM,0
New York,AD65,ED15,BENJAMIN L. YEE,2
New York,AD65,ED15,A. MANNY ALICANDRO,0
New York,AD65,ED15,NOMIKI D. KONST,0
New York,AD65,ED15,DAVID EISENBACH,0
New York,AD65,ED15,JARED RICH,2
New York,AD65,ED15,ANTHONY TONY HERBERT,1
New York,AD65,ED15,HELAL A. SHEIKH,0
New York,AD65,ED15,WRITE-IN,0
New York,AD65,ED16,MELISSA MARK-VIVERITO,14
New York,AD65,ED16,MICHAEL A. BLAKE,4
New York,AD65,ED16,DAWN L. SMALLS,10
New York,AD65,ED16,ERIC A. ULRICH,20
New York,AD65,ED16,YDANIS RODRIGUEZ,0
New York,AD65,ED16,DANIEL J. O'DONNELL,2
New York,AD65,ED16,RAFAEL L. ESPINAL JR.,3
New York,AD65,ED16,LATRICE M. WALKER,0
New York,AD65,ED16,JUMAANE D. WILLIAMS,20
New York,AD65,ED16,RON KIM,3
New York,AD65,ED16,BENJAMIN L. YEE,2
New York,AD65,ED16,A. MANNY ALICANDRO,0
New York,AD65,ED16,NOMIKI D. KONST,1
New York,AD65,ED16,DAVID EISENBACH,1
New York,AD65,ED16,JARED RICH,0
New York,AD65,ED16,ANTHONY TONY HERBERT,1
New York,AD65,ED16,HELAL A. SHEIKH,0
New York,AD65,ED16,WRITE-IN,2
New York,AD65,ED17,MELISSA MARK-VIVERITO,0
New York,AD65,ED17,MICHAEL A. BLAKE,0
New York,AD65,ED17,DAWN L. SMALLS,0
New York,AD65,ED17,ERIC A. ULRICH,0
New York,AD65,ED17,YDANIS RODRIGUEZ,0
New York,AD65,ED17,DANIEL J. O'DONNELL,0
New York,AD65,ED17,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED17,LATRICE M. WALKER,0
New York,AD65,ED17,JUMAANE D. WILLIAMS,0
New York,AD65,ED17,RON KIM,0
New York,AD65,ED17,BENJAMIN L. YEE,0
New York,AD65,ED17,A. MANNY ALICANDRO,0
New York,AD65,ED17,NOMIKI D. KONST,0
New York,AD65,ED17,DAVID EISENBACH,0
New York,AD65,ED17,JARED RICH,0
New York,AD65,ED17,ANTHONY TONY HERBERT,0
New York,AD65,ED17,HELAL A. SHEIKH,0
New York,AD65,ED17,WRITE-IN,0
New York,AD65,ED18,MELISSA MARK-VIVERITO,25
New York,AD65,ED18,MICHAEL A. BLAKE,5
New York,AD65,ED18,DAWN L. SMALLS,3
New York,AD65,ED18,ERIC A. ULRICH,5
New York,AD65,ED18,YDANIS RODRIGUEZ,9
New York,AD65,ED18,DANIEL J. O'DONNELL,3
New York,AD65,ED18,RAFAEL L. ESPINAL JR.,1
New York,AD65,ED18,LATRICE M. WALKER,0
New York,AD65,ED18,JUMAANE D. WILLIAMS,7
New York,AD65,ED18,RON KIM,6
New York,AD65,ED18,BENJAMIN L. YEE,27
New York,AD65,ED18,A. MANNY ALICANDRO,0
New York,AD65,ED18,NOMIKI D. KONST,0
New York,AD65,ED18,DAVID EISENBACH,0
New York,AD65,ED18,JARED RICH,0
New York,AD65,ED18,ANTHONY TONY HERBERT,3
New York,AD65,ED18,HELAL A. SHEIKH,3
New York,AD65,ED18,WRITE-IN,0
New York,AD65,ED19,MELISSA MARK-VIVERITO,13
New York,AD65,ED19,MICHAEL A. BLAKE,5
New York,AD65,ED19,DAWN L. SMALLS,0
New York,AD65,ED19,ERIC A. ULRICH,8
New York,AD65,ED19,YDANIS RODRIGUEZ,5
New York,AD65,ED19,DANIEL J. O'DONNELL,2
New York,AD65,ED19,RAFAEL L. ESPINAL JR.,1
New York,AD65,ED19,LATRICE M. WALKER,1
New York,AD65,ED19,JUMAANE D. WILLIAMS,18
New York,AD65,ED19,RON KIM,10
New York,AD65,ED19,BENJAMIN L. YEE,21
New York,AD65,ED19,A. MANNY ALICANDRO,1
New York,AD65,ED19,NOMIKI D. KONST,1
New York,AD65,ED19,DAVID EISENBACH,3
New York,AD65,ED19,JARED RICH,0
New York,AD65,ED19,ANTHONY TONY HERBERT,0
New York,AD65,ED19,HELAL A. SHEIKH,2
New York,AD65,ED19,WRITE-IN,0
New York,AD65,ED20,MELISSA MARK-VIVERITO,0
New York,AD65,ED20,MICHAEL A. BLAKE,0
New York,AD65,ED20,DAWN L. SMALLS,0
New York,AD65,ED20,ERIC A. ULRICH,0
New York,AD65,ED20,YDANIS RODRIGUEZ,0
New York,AD65,ED20,DANIEL J. O'DONNELL,0
New York,AD65,ED20,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED20,LATRICE M. WALKER,0
New York,AD65,ED20,JUMAANE D. WILLIAMS,0
New York,AD65,ED20,RON KIM,0
New York,AD65,ED20,BENJAMIN L. YEE,0
New York,AD65,ED20,A. MANNY ALICANDRO,0
New York,AD65,ED20,NOMIKI D. KONST,0
New York,AD65,ED20,DAVID EISENBACH,0
New York,AD65,ED20,JARED RICH,0
New York,AD65,ED20,ANTHONY TONY HERBERT,0
New York,AD65,ED20,HELAL A. SHEIKH,0
New York,AD65,ED20,WRITE-IN,0
New York,AD65,ED21,MELISSA MARK-VIVERITO,12
New York,AD65,ED21,MICHAEL A. BLAKE,2
New York,AD65,ED21,DAWN L. SMALLS,4
New York,AD65,ED21,ERIC A. ULRICH,8
New York,AD65,ED21,YDANIS RODRIGUEZ,7
New York,AD65,ED21,DANIEL J. O'DONNELL,1
New York,AD65,ED21,RAFAEL L. ESPINAL JR.,6
New York,AD65,ED21,LATRICE M. WALKER,0
New York,AD65,ED21,JUMAANE D. WILLIAMS,18
New York,AD65,ED21,RON KIM,21
New York,AD65,ED21,BENJAMIN L. YEE,47
New York,AD65,ED21,A. MANNY ALICANDRO,0
New York,AD65,ED21,NOMIKI D. KONST,0
New York,AD65,ED21,DAVID EISENBACH,2
New York,AD65,ED21,JARED RICH,0
New York,AD65,ED21,ANTHONY TONY HERBERT,1
New York,AD65,ED21,HELAL A. SHEIKH,0
New York,AD65,ED21,WRITE-IN,0
New York,AD65,ED22,MELISSA MARK-VIVERITO,3
New York,AD65,ED22,MICHAEL A. BLAKE,2
New York,AD65,ED22,DAWN L. SMALLS,4
New York,AD65,ED22,ERIC A. ULRICH,21
New York,AD65,ED22,YDANIS RODRIGUEZ,0
New York,AD65,ED22,DANIEL J. O'DONNELL,2
New York,AD65,ED22,RAFAEL L. ESPINAL JR.,3
New York,AD65,ED22,LATRICE M. WALKER,1
New York,AD65,ED22,JUMAANE D. WILLIAMS,27
New York,AD65,ED22,RON KIM,16
New York,AD65,ED22,BENJAMIN L. YEE,52
New York,AD65,ED22,A. MANNY ALICANDRO,2
New York,AD65,ED22,NOMIKI D. KONST,1
New York,AD65,ED22,DAVID EISENBACH,0
New York,AD65,ED22,JARED RICH,2
New York,AD65,ED22,ANTHONY TONY HERBERT,0
New York,AD65,ED22,HELAL A. SHEIKH,0
New York,AD65,ED22,WRITE-IN,0
New York,AD65,ED23,MELISSA MARK-VIVERITO,13
New York,AD65,ED23,MICHAEL A. BLAKE,2
New York,AD65,ED23,DAWN L. SMALLS,3
New York,AD65,ED23,ERIC A. ULRICH,7
New York,AD65,ED23,YDANIS RODRIGUEZ,0
New York,AD65,ED23,DANIEL J. O'DONNELL,5
New York,AD65,ED23,RAFAEL L. ESPINAL JR.,3
New York,AD65,ED23,LATRICE M. WALKER,0
New York,AD65,ED23,JUMAANE D. WILLIAMS,29
New York,AD65,ED23,RON KIM,51
New York,AD65,ED23,BENJAMIN L. YEE,131
New York,AD65,ED23,A. MANNY ALICANDRO,5
New York,AD65,ED23,NOMIKI D. KONST,4
New York,AD65,ED23,DAVID EISENBACH,8
New York,AD65,ED23,JARED RICH,0
New York,AD65,ED23,ANTHONY TONY HERBERT,0
New York,AD65,ED23,HELAL A. SHEIKH,0
New York,AD65,ED23,WRITE-IN,0
New York,AD65,ED24,MELISSA MARK-VIVERITO,7
New York,AD65,ED24,MICHAEL A. BLAKE,1
New York,AD65,ED24,DAWN L. SMALLS,1
New York,AD65,ED24,ERIC A. ULRICH,3
New York,AD65,ED24,YDANIS RODRIGUEZ,0
New York,AD65,ED24,DANIEL J. O'DONNELL,1
New York,AD65,ED24,RAFAEL L. ESPINAL JR.,1
New York,AD65,ED24,LATRICE M. WALKER,0
New York,AD65,ED24,JUMAANE D. WILLIAMS,9
New York,AD65,ED24,RON KIM,15
New York,AD65,ED24,BENJAMIN L. YEE,35
New York,AD65,ED24,A. MANNY ALICANDRO,0
New York,AD65,ED24,NOMIKI D. KONST,1
New York,AD65,ED24,DAVID EISENBACH,3
New York,AD65,ED24,JARED RICH,0
New York,AD65,ED24,ANTHONY TONY HERBERT,0
New York,AD65,ED24,HELAL A. SHEIKH,0
New York,AD65,ED24,WRITE-IN,0
New York,AD65,ED25,MELISSA MARK-VIVERITO,0
New York,AD65,ED25,MICHAEL A. BLAKE,0
New York,AD65,ED25,DAWN L. SMALLS,0
New York,AD65,ED25,ERIC A. ULRICH,0
New York,AD65,ED25,YDANIS RODRIGUEZ,0
New York,AD65,ED25,DANIEL J. O'DONNELL,0
New York,AD65,ED25,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED25,LATRICE M. WALKER,0
New York,AD65,ED25,JUMAANE D. WILLIAMS,0
New York,AD65,ED25,RON KIM,0
New York,AD65,ED25,BENJAMIN L. YEE,0
New York,AD65,ED25,A. MANNY ALICANDRO,0
New York,AD65,ED25,NOMIKI D. KONST,0
New York,AD65,ED25,DAVID EISENBACH,0
New York,AD65,ED25,JARED RICH,0
New York,AD65,ED25,ANTHONY TONY HERBERT,0
New York,AD65,ED25,HELAL A. SHEIKH,0
New York,AD65,ED25,WRITE-IN,0
New York,AD65,ED26,MELISSA MARK-VIVERITO,0
New York,AD65,ED26,MICHAEL A. BLAKE,0
New York,AD65,ED26,DAWN L. SMALLS,0
New York,AD65,ED26,ERIC A. ULRICH,0
New York,AD65,ED26,YDANIS RODRIGUEZ,0
New York,AD65,ED26,DANIEL J. O'DONNELL,0
New York,AD65,ED26,RAFAEL L. ESPINAL JR.,0
New York,AD65,ED26,LATRICE M. WALKER,0
New York,AD65,ED26,JUMAANE D. WILLIAMS,0
New York,AD65,ED26,RON KIM,0
New York,AD65,ED26,BENJAMIN L. YEE,0
New York,AD65,ED26,A. MANNY ALICANDRO,0
New York,AD65,ED26,NOMIKI D. KONST,0
New York,AD65,ED26,DAVID EISENBACH,0
New York,AD65,ED26,JARED RICH,0
New York,AD65,ED26,ANTHONY TONY HERBERT,0
New York,AD65,ED26,HELAL A. SHEIKH,0
New York,AD65,ED26,WRITE-IN,0
New York,AD65,ED27,MELISSA MARK-VIVERITO,16
New York,AD65,ED27,MICHAEL A. BLAKE,5
New York,AD65,ED27,DAWN L. SMALLS,4
New York,AD65,ED27,ERIC A. ULRICH,23
New York,AD65,ED27,YDANIS RODRIGUEZ,2
New York,AD65,ED27,DANIEL J. O'DONNELL,1
New York,AD65,ED27,RAFAEL L. ESPINAL JR.,2
New York,AD65,ED27,LATRICE M. WALKER,0
New York,AD65,ED27,JUMAANE D. WILLIAMS,13
New York,AD65,ED27,RON KIM,18
New York,AD65,ED27,BENJAMIN L. YEE,63
New York,AD65,ED27,A. MANNY ALICANDRO,0
New York,AD65,ED27,NOMIKI D. KONST,9
New York,AD65,ED27,DAVID EISENBACH,2
New York,AD65,ED27,JARED RICH,0
