CD,elect_dist,AD,ED
CD8,68067,AD68,ED67
CD8,68068,AD68,ED68
CD8,68069,AD68,ED69
CD8,68070,AD68,ED70
CD8,68072,AD68,ED72
CD8,68073,AD68,ED73
CD8,68075,AD68,ED75
CD8,68076,AD68,ED76
CD8,68077,AD68,ED77
CD8,68086,AD68,ED86
CD8,68088,AD68,ED88
CD8,68089,AD68,ED89
CD8,68090,AD68,ED90
CD8,68091,AD68,ED91
CD8,68092,AD68,ED92
CD8,68093,AD68,ED93
CD8,68103,AD68,ED103
CD8,68110,AD68,ED110
CD8,68114,AD68,ED114
CD8,68115,AD68,ED115
CD8,68018,AD68,ED18
CD8,68104,AD68,ED104
CD8,68039,AD68,ED39
CD8,68017,AD68,ED17
CD8,68041,AD68,ED41
CD8,68042,AD68,ED42
CD8,68043,AD68,ED43
CD8,68019,AD68,ED19
CD8,68021,AD68,ED21
CD8,68027,AD68,ED27
CD8,68095,AD68,ED95
CD8,68078,AD68,ED78
CD8,68079,AD68,ED79
CD8,68071,AD68,ED71
CD8,68094,AD68,ED94
CD45,41011,AD41,ED11
CD45,41012,AD41,ED12
CD45,41013,AD41,ED13
CD45,41015,AD41,ED15
CD45,41016,AD41,ED16
CD45,41019,AD41,ED19
CD45,41020,AD41,ED20
CD45,41021,AD41,ED21
CD45,41023,AD41,ED23
CD45,41024,AD41,ED24
CD45,41025,AD41,ED25
CD45,41026,AD41,ED26
CD45,41027,AD41,ED27
CD45,41028,AD41,ED28
CD45,41029,AD41,ED29
CD45,41030,AD41,ED30
CD45,41032,AD41,ED32
CD45,41033,AD41,ED33
CD45,41034,AD41,ED34
CD45,41039,AD41,ED39
CD45,41041,AD41,ED41
CD45,41043,AD41,ED43
CD45,41045,AD41,ED45
CD45,41047,AD41,ED47
CD45,41048,AD41,ED48
CD45,41050,AD41,ED50
CD45,41051,AD41,ED51
CD45,41052,AD41,ED52
CD45,41053,AD41,ED53
CD45,41054,AD41,ED54
CD45,41055,AD41,ED55
CD45,41091,AD41,ED91
CD45,41095,AD41,ED95
CD45,41096,AD41,ED96
CD45,41097,AD41,ED97
CD45,41099,AD41,ED99
CD45,42036,AD42,ED36
CD45,42037,AD42,ED37
CD45,42038,AD42,ED38
CD45,42039,AD42,ED39
CD45,42040,AD42,ED40
CD45,42041,AD42,ED41
CD45,42042,AD42,ED42
CD45,42043,AD42,ED43
CD45,42044,AD42,ED44
CD45,42045,AD42,ED45
CD45,42046,AD42,ED46
CD45,42047,AD42,ED47
CD45,42048,AD42,ED48
CD45,42049,AD42,ED49
CD45,42050,AD42,ED50
CD45,42051,AD42,ED51
CD45,42053,AD42,ED53
CD45,42054,AD42,ED54
CD45,42055,AD42,ED55
CD45,42056,AD42,ED56
CD45,42057,AD42,ED57
CD45,42058,AD42,ED58
CD45,42060,AD42,ED60
CD45,42061,AD42,ED61
CD45,42062,AD42,ED62
CD45,42063,AD42,ED63
CD45,42064,AD42,ED64
CD45,42065,AD42,ED65
CD45,42069,AD42,ED69
CD45,42071,AD42,ED71
CD45,42073,AD42,ED73
CD45,42074,AD42,ED74
CD45,42080,AD42,ED80
CD45,42081,AD42,ED81
CD45,42082,AD42,ED82
CD45,44026,AD44,ED26
CD45,44027,AD44,ED27
CD45,44031,AD44,ED31
CD45,44032,AD44,ED32
CD45,48056,AD48,ED56
CD45,48057,AD48,ED57
CD45,48063,AD48,ED63
CD45,58016,AD58,ED16
CD45,58017,AD58,ED17
CD45,58018,AD58,ED18
CD45,58019,AD58,ED19
CD45,58020,AD58,ED20
CD45,58021,AD58,ED21
CD45,58022,AD58,ED22
CD45,58023,AD58,ED23
CD45,58024,AD58,ED24
CD45,58025,AD58,ED25
CD45,58026,AD58,ED26
CD45,58027,AD58,ED27
CD45,58028,AD58,ED28
CD45,58029,AD58,ED29
CD45,58030,AD58,ED30
CD45,58031,AD58,ED31
CD45,58032,AD58,ED32
CD45,58033,AD58,ED33
CD45,58034,AD58,ED34
CD45,58035,AD58,ED35
CD45,58037,AD58,ED37
CD45,58038,AD58,ED38
CD45,58039,AD58,ED39
CD45,58041,AD58,ED41
CD45,58042,AD58,ED42
CD45,58043,AD58,ED43
CD45,58044,AD58,ED44
CD45,58049,AD58,ED49
CD45,58050,AD58,ED50
CD45,58080,AD58,ED80
CD45,58081,AD58,ED81
CD45,58083,AD58,ED83
CD45,58086,AD58,ED86
CD45,59002,AD59,ED2
CD45,59003,AD59,ED3
CD45,59004,AD59,ED4
CD45,59019,AD59,ED19
CD45,59023,AD59,ED23
CD45,59086,AD59,ED86
CD45,41031,AD41,ED31
CD45,41040,AD41,ED40
CD45,42052,AD42,ED52
CD45,41098,AD41,ED98
CD37,53050,AD53,ED50
CD37,53063,AD53,ED63
CD37,53064,AD53,ED64
CD37,53065,AD53,ED65
CD37,53066,AD53,ED66
CD37,53067,AD53,ED67
CD37,53068,AD53,ED68
CD37,53069,AD53,ED69
CD37,53070,AD53,ED70
CD37,53071,AD53,ED71
CD37,53072,AD53,ED72
CD37,53073,AD53,ED73
CD37,53074,AD53,ED74
CD37,53075,AD53,ED75
CD37,53076,AD53,ED76
CD37,53077,AD53,ED77
CD37,53082,AD53,ED82
CD37,54002,AD54,ED2
CD37,54003,AD54,ED3
CD37,54004,AD54,ED4
CD37,54006,AD54,ED6
CD37,54030,AD54,ED30
CD37,54031,AD54,ED31
CD37,54032,AD54,ED32
CD37,54033,AD54,ED33
CD37,54034,AD54,ED34
CD37,54035,AD54,ED35
CD37,54036,AD54,ED36
CD37,54037,AD54,ED37
CD37,54038,AD54,ED38
CD37,54039,AD54,ED39
CD37,54040,AD54,ED40
CD37,54041,AD54,ED41
CD37,54042,AD54,ED42
CD37,54043,AD54,ED43
CD37,54044,AD54,ED44
CD37,54045,AD54,ED45
CD37,54046,AD54,ED46
CD37,54047,AD54,ED47
CD37,54048,AD54,ED48
CD37,54049,AD54,ED49
CD37,54050,AD54,ED50
CD37,54051,AD54,ED51
CD37,54052,AD54,ED52
CD37,54053,AD54,ED53
CD37,54054,AD54,ED54
CD37,54055,AD54,ED55
CD37,54056,AD54,ED56
CD37,54057,AD54,ED57
CD37,54058,AD54,ED58
CD37,54059,AD54,ED59
CD37,54060,AD54,ED60
CD37,54061,AD54,ED61
CD37,54062,AD54,ED62
CD37,54063,AD54,ED63
CD37,54064,AD54,ED64
CD37,54065,AD54,ED65
CD37,54066,AD54,ED66
CD37,54067,AD54,ED67
CD37,54068,AD54,ED68
CD37,54069,AD54,ED69
CD37,54070,AD54,ED70
CD37,54071,AD54,ED71
CD37,54073,AD54,ED73
CD37,54074,AD54,ED74
CD37,54078,AD54,ED78
CD37,54079,AD54,ED79
CD37,54080,AD54,ED80
CD37,54081,AD54,ED81
CD37,54082,AD54,ED82
CD37,54083,AD54,ED83
CD37,54085,AD54,ED85
CD37,54086,AD54,ED86
CD37,54087,AD54,ED87
CD37,54088,AD54,ED88
CD37,54089,AD54,ED89
CD37,55007,AD55,ED7
CD37,55014,AD55,ED14
CD37,55015,AD55,ED15
CD37,55016,AD55,ED16
CD37,55017,AD55,ED17
CD37,55025,AD55,ED25
CD37,55026,AD55,ED26
CD37,55027,AD55,ED27
CD37,55028,AD55,ED28
CD37,55029,AD55,ED29
